iter	Logloss
0	0.6556172004
1	0.6053579771
2	0.5752867919
3	0.536718662
4	0.5039625168
5	0.4799406345
6	0.4476360174
7	0.4205155006
8	0.4029427675
9	0.3865780097
10	0.3676448235
11	0.3532651755
12	0.3364042135
13	0.3217979945
14	0.3030159657
15	0.290044271
16	0.2761934721
17	0.2647637954
18	0.2527482326
19	0.2425161692
20	0.2333882405
21	0.2225962419
22	0.2159261703
23	0.2052280536
24	0.1982416006
25	0.1915595348
26	0.1852730421
27	0.1785422288
28	0.1734416668
29	0.1681314982
30	0.1643990003
31	0.1581811538
32	0.1533286113
33	0.1473496969
34	0.1428537002
35	0.138003551
36	0.1325926231
37	0.1292429337
38	0.126177586
39	0.1225219506
40	0.1179370055
41	0.1142679361
42	0.1108668217
43	0.1076447414
44	0.1049301166
45	0.1013914805
46	0.09908566108
47	0.0969847349
48	0.0947938699
49	0.09255843896
50	0.09042038367
