iter	Passed	Remaining
0	4	332
1	8	304
2	11	264
3	13	238
4	16	219
5	18	209
6	21	199
7	23	192
8	26	186
9	28	181
10	31	177
11	33	172
12	36	167
13	38	163
14	42	163
15	45	161
16	47	157
17	50	153
18	52	149
19	55	146
20	57	142
21	59	138
22	62	135
23	64	132
24	67	129
25	69	126
26	72	123
27	74	120
28	77	117
29	80	114
30	82	111
31	86	110
32	88	107
33	90	104
34	93	101
35	96	99
36	98	96
37	101	93
38	103	90
39	106	87
40	110	86
41	112	83
42	115	80
43	117	77
44	121	75
45	124	73
46	126	70
47	129	67
48	131	64
49	134	61
50	136	59
51	139	56
52	141	53
53	144	50
54	148	48
55	151	45
56	154	43
57	156	40
58	159	37
59	161	35
60	164	32
61	167	29
62	169	26
63	172	24
64	174	21
65	177	18
66	179	16
67	182	13
68	184	10
69	187	8
70	189	5
71	192	2
72	194	0
